SECID,BOARDID,BID,OFFER,SPREAD,OPEN,HIGH,LOW,LAST,QUANTITY,LASTCHANGE,SETTLEPRICE,SETTLETOPREVSETTLE,OPENPOSITION,NUMTRADES,VOLTODAY,VALTODAY,VALTODAY_USD,UPDATETIME,LASTCHANGEPRCNT,BIDDEPTH,BIDDEPTHT,NUMBIDS,OFFERDEPTH,OFFERDEPTHT,NUMOFFERS,TIME,SETTLETOPREVSETTLEPRC,SEQNUM,SYSTIME,TRADEDATE,LASTTOPREVPRICE,OICHANGE,OPENPERIODPRICE,SWAPRATE,TRADE_SESSION_DATE,LAST_RUB
BSZ6,RFUD,2498,2500,2,2630,2630,2474,2504,1,7,2500,-115,3992,63,387,992315,12046,17:50:18,0.28,,,,,,,17:26:19,-4.6,20260813180522,2026-08-13 18:05:22,2026-08-13,-3.66,2,2630.00000,0.00000,2026-08-13,2504
BTQ6,RFUD,64129,64142,13,63908,64250,63528,64124,11,-14,64129,416,359378,4778,41969,222762720,2704278,17:50:22,-0.02,,,,,,,17:49:38,0.65,20260813180523,2026-08-13 18:05:23,2026-08-13,0.43,1392,0.00000,0.00000,2026-08-13,5322
BTU6,RFUD,64548,64568,20,64319,64650,63979,64562,1,16,64562,397,88930,1610,9038,48265588,585931,17:50:22,0.02,,,,,,,17:48:45,0.61,20260813180523,2026-08-13 18:05:23,2026-08-13,0.48,1570,0.00000,0.00000,2026-08-13,5359
BTV6,RFUD,65083,65178,95,64959,65255,64650,64950,2,-35,65083,430,21830,104,920,4960998,60225,17:50:08,-0.05,,,,,,,17:04:11,0.66,20260813180522,2026-08-13 18:05:22,2026-08-13,0.28,550,0.00000,0.00000,2026-08-13,5391
BYU6,RFUD,27.7,28.46,0.76,0,0,0,0,0,0,28.39,0.1,10,0,0,0,0,17:50:13,0,,,,,,,17:50:13,0.35,20260813180514,2026-08-13 18:05:14,,,0,0.00000,0.00000,2026-08-13,0
BYZ6,RFUD,28.15,29.08,0.93,0,0,0,0,0,0,29.08,0.02,10,0,0,0,0,17:50:13,0,,,,,,,17:50:13,0.07,20260813180514,2026-08-13 18:05:14,,,0,0.00000,0.00000,2026-08-13,0
BZU6,RFUD,33.83,34.13,0.3,34.24,34.24,33.95,34.02,4,0.07,34.02,-0.25,506,7,14,39532,480,17:49:57,0.21,,,,,,,16:29:50,-0.73,20260813180458,2026-08-13 18:04:58,2026-08-13,-0.79,16,0.00000,0.00000,2026-08-13,2824
BZZ6,RFUD,34.16,34.46,0.3,34.57,34.57,34.57,34.57,1,0,34.47,-0.06,106,1,1,2869,35,17:49:57,0,,,,,,,10:23:07,-0.17,20260813180458,2026-08-13 18:04:58,2026-08-13,0,0,0.00000,0.00000,2026-08-13,2869
CAU6,RFUD,1.3914,1.3934,0.002,0,0,0,0,0,0,1.3914,0,2,0,0,0,0,17:48:52,0,,,,,,,17:48:52,0,20260813180352,2026-08-13 18:03:52,,,0,0.00000,0.00000,2026-08-13,0
CAZ6,RFUD,1.3778,1.4056,0.0278,0,0,0,0,0,0,1.3917,0,0,0,0,0,0,17:48:54,0,,,,,,,17:48:54,0,20260813180354,2026-08-13 18:03:54,,,0,0.00000,0.00000,2026-08-13,0
CCQ6,RFUD,482.7,482.9,0.2,467.8,486.9,466,482.7,1,-0.2,482.8,14.7,1021250,90918,2052270,9764082339,118533258,17:50:22,-0.04,,,,,,,17:50:21,3.04,20260813180523,2026-08-13 18:05:23,2026-08-13,3.41,123006,0.00000,0.00000,2026-08-13,4827
CCX6,RFUD,495,495.3,0.3,481.4,498.7,478.9,495,1,-0.8,495.3,13.7,147590,13893,98833,482592964,5858545,17:50:22,-0.16,,,,,,,17:50:21,2.77,20260813180523,2026-08-13 18:05:23,2026-08-13,3.04,-3858,0.00000,0.00000,2026-08-13,4950
