Date,cl_period,KEY_PERIOD,BC,r
2026-08-12,CL,6M,ALRS,0.07465395698574935
2026-08-12,CL,9M,ALRS,0.07465395698574935
2026-08-12,CL,1Y,ALRS,0.07465395698574935
2026-08-12,CL,2Y,ALRS,0.07465395698574935
2026-08-12,CL,3Y,ALRS,0.07465395698574935
2026-08-12,CL,4Y,ALRS,0.07465395698574935
2026-08-12,CL,5Y,ALRS,0.07465395698574935
2026-08-12,CL,6Y,ALRS,0.07465395698574935
2026-08-12,CL,7Y,ALRS,0.07465395698574935
2026-08-12,CL,8Y,ALRS,0.07465395698574935
2026-08-12,CL,9Y,ALRS,0.07465395698574935
2026-08-12,CL,10Y,ALRS,0.07465395698574935
2026-08-12,CL,1D,ALUM,-0.014432359838813476
2026-08-12,CL,1W,ALUM,-0.014432359838813476
2026-08-12,CL,2W,ALUM,-0.014432359838813476
2026-08-12,CL,1M,ALUM,-0.014432359838813476
2026-08-12,CL,2M,ALUM,-0.014432359838813476
2026-08-12,CL,3M,ALUM,-0.014432359838813476
2026-08-12,CL,6M,ALUM,-0.014432359838813476
2026-08-12,CL,9M,ALUM,-0.014432359838813476
2026-08-12,CL,1Y,ALUM,-0.014432359838813476
2026-08-12,CL,2Y,ALUM,-0.014432359838813476
2026-08-12,CL,3Y,ALUM,-0.014432359838813476
2026-08-12,CL,4Y,ALUM,-0.014432359838813476
2026-08-12,CL,5Y,ALUM,-0.014432359838813476
2026-08-12,CL,6Y,ALUM,-0.014432359838813476
2026-08-12,CL,7Y,ALUM,-0.014432359838813476
2026-08-12,CL,8Y,ALUM,-0.014432359838813476
2026-08-12,CL,9Y,ALUM,-0.014432359838813476
2026-08-12,CL,10Y,ALUM,-0.014432359838813476
2026-08-12,CL,1D,AMD,0.2448225026090292
2026-08-12,CL,1W,AMD,0.2448225026090292
2026-08-12,CL,2W,AMD,0.2448225026090292
2026-08-12,CL,1M,AMD,0.2448225026090292
2026-08-12,CL,2M,AMD,0.2448225026090292
2026-08-12,CL,3M,AMD,0.2448225026090292
2026-08-12,CL,6M,AMD,0.2448225026090292
2026-08-12,CL,9M,AMD,0.2448225026090292
2026-08-12,CL,1Y,AMD,0.2448225026090292
2026-08-12,CL,2Y,AMD,0.2448225026090292
2026-08-12,CL,3Y,AMD,0.2448225026090292
2026-08-12,CL,4Y,AMD,0.2448225026090292
2026-08-12,CL,5Y,AMD,0.2448225026090292
2026-08-12,CL,6Y,AMD,0.2448225026090292
2026-08-12,CL,7Y,AMD,0.2448225026090292
2026-08-12,CL,8Y,AMD,0.2448225026090292
2026-08-12,CL,9Y,AMD,0.2448225026090292
2026-08-12,CL,10Y,AMD,0.2448225026090292
2026-08-12,CL,1D,ARGT,0.02999437009673788
2026-08-12,CL,1W,ARGT,0.02999437009673788
2026-08-12,CL,2W,ARGT,0.02999437009673788
2026-08-12,CL,1M,ARGT,0.02999437009673788
2026-08-12,CL,2M,ARGT,0.02999437009673788
2026-08-12,CL,3M,ARGT,0.02999437009673788
2026-08-12,CL,6M,ARGT,0.02999437009673788
2026-08-12,CL,9M,ARGT,0.02999437009673788
2026-08-12,CL,1Y,ARGT,0.02999437009673788
2026-08-12,CL,2Y,ARGT,0.02999437009673788
2026-08-12,CL,3Y,ARGT,0.02999437009673788
2026-08-12,CL,4Y,ARGT,0.02999437009673788
2026-08-12,CL,5Y,ARGT,0.02999437009673788
